Case,Cement,Blast,Fly Ash,Water
1,540,0,0,162
2,540,0,0,162
3,332.5,142.5,0,228
4,332.5,142.5,0,228
5,198.6,132.4,0,192
6,266,114,0,228
7,380,95,0,228
8,380,95,0,228
9,266,114,0,228
10,475,0,0,228
11,198.6,132.4,0,192
12,198.6,132.4,0,192
13,427.5,47.5,0,228
14,190,190,0,228
15,304,76,0,228
16,380,0,0,228
17,139.6,209.4,0,192
18,342,38,0,228
19,380,95,0,228
20,475,0,0,228
21,427.5,47.5,0,228
22,139.6,209.4,0,192
23,139.6,209.4,0,192
24,139.6,209.4,0,192
25,380,0,0,228
26,380,0,0,228
27,380,95,0,228
28,342,38,0,228
29,427.5,47.5,0,228
30,475,0,0,228
31,304,76,0,228
32,266,114,0,228
33,198.6,132.4,0,192
34,475,0,0,228
35,190,190,0,228
36,237.5,237.5,0,228
37,237.5,237.5,0,228
38,332.5,142.5,0,228
39,475,0,0,228
40,237.5,237.5,0,228
41,342,38,0,228
42,427.5,47.5,0,228
43,237.5,237.5,0,228
44,380,0,0,228
45,427.5,47.5,0,228
46,427.5,47.5,0,228
47,349,0,0,192
48,380,95,0,228
49,237.5,237.5,0,228
50,380,95,0,228
51,332.5,142.5,0,228
52,190,190,0,228
53,237.5,237.5,0,228
54,304,76,0,228
55,139.6,209.4,0,192
56,198.6,132.4,0,192
57,475,0,0,228
58,198.6,132.4,0,192
59,304,76,0,228
60,332.5,142.5,0,228
61,304,76,0,228
62,266,114,0,228
63,310,0,0,192
64,190,190,0,228
65,266,114,0,228
66,342,38,0,228
67,139.6,209.4,0,192
68,332.5,142.5,0,228
69,190,190,0,228
70,485,0,0,146
71,374,189.2,0,170.1
72,313.3,262.2,0,175.5
73,425,106.3,0,153.5
74,425,106.3,0,151.4
75,375,93.8,0,126.6
76,475,118.8,0,181.1
77,469,117.2,0,137.8
78,425,106.3,0,153.5
79,388.6,97.1,0,157.9
80,531.3,0,0,141.8
81,425,106.3,0,153.5
82,318.8,212.5,0,155.7
83,401.8,94.7,0,147.4
84,362.6,189,0,164.9
85,323.7,282.8,0,183.8
86,379.5,151.2,0,153.9
87,362.6,189,0,164.9
88,286.3,200.9,0,144.7
89,362.6,189,0,164.9
90,439,177,0,186
91,389.9,189,0,145.9
92,362.6,189,0,164.9
93,337.9,189,0,174.9
94,374,189.2,0,170.1
95,313.3,262.2,0,175.5
96,425,106.3,0,153.5
97,425,106.3,0,151.4
98,375,93.8,0,126.6
99,475,118.8,0,181.1
100,469,117.2,0,137.8
101,425,106.3,0,153.5
102,388.6,97.1,0,157.9
103,531.3,0,0,141.8
104,425,106.3,0,153.5
105,318.8,212.5,0,155.7
106,401.8,94.7,0,147.4
107,362.6,189,0,164.9
108,323.7,282.8,0,183.8
109,379.5,151.2,0,153.9
110,362.6,189,0,164.9
111,286.3,200.9,0,144.7
112,362.6,189,0,164.9
113,439,177,0,186
114,389.9,189,0,145.9
115,362.6,189,0,164.9
116,337.9,189,0,174.9
117,374,189.2,0,170.1
118,313.3,262.2,0,175.5
119,425,106.3,0,153.5
120,425,106.3,0,151.4
121,375,93.8,0,126.6
122,475,118.8,0,181.1
123,469,117.2,0,137.8
124,425,106.3,0,153.5
125,388.6,97.1,0,157.9
126,531.3,0,0,141.8
127,425,106.3,0,153.5
128,318.8,212.5,0,155.7
129,401.8,94.7,0,147.4
130,362.6,189,0,164.9
131,323.7,282.8,0,183.8
132,379.5,151.2,0,153.9
133,362.6,189,0,164.9
134,286.3,200.9,0,144.7
135,362.6,189,0,164.9
136,439,177,0,186
137,389.9,189,0,145.9
138,362.6,189,0,164.9
139,337.9,189,0,174.9
140,374,189.2,0,170.1
141,313.3,262.2,0,175.5
142,425,106.3,0,153.5
143,425,106.3,0,151.4
144,375,93.8,0,126.6
145,475,118.8,0,181.1
146,469,117.2,0,137.8
147,425,106.3,0,153.5
148,388.6,97.1,0,157.9
149,531.3,0,0,141.8
150,425,106.3,0,153.5
